seed,load,qos_regime,algorithm,fog_node_id,completed_tasks
10009,low,clean,SemiGreedy,fog-1,60
10009,low,clean,SemiGreedy,fog-2,0
10009,low,clean,SemiGreedy,fog-3,0
10009,low,clean,SemiGreedy,fog-4,0
10009,low,clean,SemiGreedy,fog-5,0
10009,low,clean,SemiGreedy,fog-6,8
10009,low,clean,SemiGreedy,fog-7,2
10009,low,clean,SemiGreedy,fog-8,185
10009,low,clean,Fog-only,fog-1,128
10009,low,clean,Fog-only,fog-2,3
10009,low,clean,Fog-only,fog-3,0
10009,low,clean,Fog-only,fog-4,0
10009,low,clean,Fog-only,fog-5,0
10009,low,clean,Fog-only,fog-6,56
10009,low,clean,Fog-only,fog-7,21
10009,low,clean,Fog-only,fog-8,234
10009,low,clean,DRL-OO,fog-1,58
10009,low,clean,DRL-OO,fog-2,126
10009,low,clean,DRL-OO,fog-3,11
10009,low,clean,DRL-OO,fog-4,9
10009,low,clean,DRL-OO,fog-5,0
10009,low,clean,DRL-OO,fog-6,17
10009,low,clean,DRL-OO,fog-7,7
10009,low,clean,DRL-OO,fog-8,214
10010,low,clean,DT-KF-CostAware,fog-1,87
10010,low,clean,DT-KF-CostAware,fog-2,3
10010,low,clean,DT-KF-CostAware,fog-3,2
10010,low,clean,DT-KF-CostAware,fog-4,87
10010,low,clean,DT-KF-CostAware,fog-5,87
10010,low,clean,DT-KF-CostAware,fog-6,87
10010,low,clean,DT-KF-CostAware,fog-7,9
10010,low,clean,DT-KF-CostAware,fog-8,88
10010,low,clean,DT-OPT,fog-1,77
10010,low,clean,DT-OPT,fog-2,0
10010,low,clean,DT-OPT,fog-3,0
10010,low,clean,DT-OPT,fog-4,224
10010,low,clean,DT-OPT,fog-5,48
10010,low,clean,DT-OPT,fog-6,55
10010,low,clean,DT-OPT,fog-7,40
10010,low,clean,DT-OPT,fog-8,10
10010,low,clean,SemiGreedy,fog-1,194
10010,low,clean,SemiGreedy,fog-2,0
10010,low,clean,SemiGreedy,fog-3,0
10010,low,clean,SemiGreedy,fog-4,10
10010,low,clean,SemiGreedy,fog-5,1
10010,low,clean,SemiGreedy,fog-6,57
10010,low,clean,SemiGreedy,fog-7,0
10010,low,clean,SemiGreedy,fog-8,2
10010,low,clean,Fog-only,fog-1,223
10010,low,clean,Fog-only,fog-2,0
10010,low,clean,Fog-only,fog-3,0
10010,low,clean,Fog-only,fog-4,62
10010,low,clean,Fog-only,fog-5,4
10010,low,clean,Fog-only,fog-6,144
10010,low,clean,Fog-only,fog-7,0
10010,low,clean,Fog-only,fog-8,22
10010,low,clean,DRL-OO,fog-1,12
10010,low,clean,DRL-OO,fog-2,22
10010,low,clean,DRL-OO,fog-3,1
10010,low,clean,DRL-OO,fog-4,231
10010,low,clean,DRL-OO,fog-5,3
10010,low,clean,DRL-OO,fog-6,55
10010,low,clean,DRL-OO,fog-7,0
10010,low,clean,DRL-OO,fog-8,130
10011,low,clean,DT-KF-CostAware,fog-1,71
10011,low,clean,DT-KF-CostAware,fog-2,73
10011,low,clean,DT-KF-CostAware,fog-3,2
10011,low,clean,DT-KF-CostAware,fog-4,210
10011,low,clean,DT-KF-CostAware,fog-5,89
10011,low,clean,DT-KF-CostAware,fog-6,3
10011,low,clean,DT-KF-CostAware,fog-7,1
10011,low,clean,DT-KF-CostAware,fog-8,2
10011,low,clean,DT-OPT,fog-1,8
10011,low,clean,DT-OPT,fog-2,117
10011,low,clean,DT-OPT,fog-3,0
10011,low,clean,DT-OPT,fog-4,258
10011,low,clean,DT-OPT,fog-5,59
10011,low,clean,DT-OPT,fog-6,12
10011,low,clean,DT-OPT,fog-7,0
10011,low,clean,DT-OPT,fog-8,0
10011,low,clean,SemiGreedy,fog-1,1
10011,low,clean,SemiGreedy,fog-2,8
10011,low,clean,SemiGreedy,fog-3,0
10011,low,clean,SemiGreedy,fog-4,206
10011,low,clean,SemiGreedy,fog-5,59
10011,low,clean,SemiGreedy,fog-6,0
10011,low,clean,SemiGreedy,fog-7,0
10011,low,clean,SemiGreedy,fog-8,0
10011,low,clean,Fog-only,fog-1,16
10011,low,clean,Fog-only,fog-2,48
10011,low,clean,Fog-only,fog-3,0
10011,low,clean,Fog-only,fog-4,254
10011,low,clean,Fog-only,fog-5,134
10011,low,clean,Fog-only,fog-6,3
10011,low,clean,Fog-only,fog-7,0
10011,low,clean,Fog-only,fog-8,0
10011,low,clean,DRL-OO,fog-1,17
10011,low,clean,DRL-OO,fog-2,155
10011,low,clean,DRL-OO,fog-3,5
10011,low,clean,DRL-OO,fog-4,208
10011,low,clean,DRL-OO,fog-5,63
10011,low,clean,DRL-OO,fog-6,5
10011,low,clean,DRL-OO,fog-7,1
10011,low,clean,DRL-OO,fog-8,0
10012,low,clean,DT-KF-CostAware,fog-1,60
10012,low,clean,DT-KF-CostAware,fog-2,0
10012,low,clean,DT-KF-CostAware,fog-3,59
10012,low,clean,DT-KF-CostAware,fog-4,59
10012,low,clean,DT-KF-CostAware,fog-5,59
10012,low,clean,DT-KF-CostAware,fog-6,60
10012,low,clean,DT-KF-CostAware,fog-7,49
10012,low,clean,DT-KF-CostAware,fog-8,59
10012,low,clean,DT-OPT,fog-1,5
10012,low,clean,DT-OPT,fog-2,0
10012,low,clean,DT-OPT,fog-3,21
10012,low,clean,DT-OPT,fog-4,11
10012,low,clean,DT-OPT,fog-5,136
10012,low,clean,DT-OPT,fog-6,156
10012,low,clean,DT-OPT,fog-7,10
10012,low,clean,DT-OPT,fog-8,73
10012,low,clean,SemiGreedy,fog-1,0
10012,low,clean,SemiGreedy,fog-2,0
10012,low,clean,SemiGreedy,fog-3,44
10012,low,clean,SemiGreedy,fog-4,187
10012,low,clean,SemiGreedy,fog-5,0
10012,low,clean,SemiGreedy,fog-6,0
10012,low,clean,SemiGreedy,fog-7,0
10012,low,clean,SemiGreedy,fog-8,14
10012,low,clean,Fog-only,fog-1,0
10012,low,clean,Fog-only,fog-2,0
10012,low,clean,Fog-only,fog-3,124
10012,low,clean,Fog-only,fog-4,218
10012,low,clean,Fog-only,fog-5,3
10012,low,clean,Fog-only,fog-6,17
10012,low,clean,Fog-only,fog-7,0
10012,low,clean,Fog-only,fog-8,51
10012,low,clean,DRL-OO,fog-1,11
10012,low,clean,DRL-OO,fog-2,7
10012,low,clean,DRL-OO,fog-3,156
10012,low,clean,DRL-OO,fog-4,7
10012,low,clean,DRL-OO,fog-5,42
10012,low,clean,DRL-OO,fog-6,161
10012,low,clean,DRL-OO,fog-7,7
10012,low,clean,DRL-OO,fog-8,20
10013,low,clean,DT-KF-CostAware,fog-1,16
10013,low,clean,DT-KF-CostAware,fog-2,17
10013,low,clean,DT-KF-CostAware,fog-3,0
10013,low,clean,DT-KF-CostAware,fog-4,16
10013,low,clean,DT-KF-CostAware,fog-5,202
10013,low,clean,DT-KF-CostAware,fog-6,15
10013,low,clean,DT-KF-CostAware,fog-7,16
10013,low,clean,DT-KF-CostAware,fog-8,203
10013,low,clean,DT-OPT,fog-1,1
10013,low,clean,DT-OPT,fog-2,81
10013,low,clean,DT-OPT,fog-3,0
10013,low,clean,DT-OPT,fog-4,0
10013,low,clean,DT-OPT,fog-5,190
10013,low,clean,DT-OPT,fog-6,16
10013,low,clean,DT-OPT,fog-7,1
10013,low,clean,DT-OPT,fog-8,198
10013,low,clean,SemiGreedy,fog-1,0
10013,low,clean,SemiGreedy,fog-2,2
10013,low,clean,SemiGreedy,fog-3,0
10013,low,clean,SemiGreedy,fog-4,0
10013,low,clean,SemiGreedy,fog-5,224
10013,low,clean,SemiGreedy,fog-6,0
10013,low,clean,SemiGreedy,fog-7,0
10013,low,clean,SemiGreedy,fog-8,60
10013,low,clean,Fog-only,fog-1,0
10013,low,clean,Fog-only,fog-2,48
10013,low,clean,Fog-only,fog-3,0
10013,low,clean,Fog-only,fog-4,0
10013,low,clean,Fog-only,fog-5,268
10013,low,clean,Fog-only,fog-6,16
10013,low,clean,Fog-only,fog-7,1
10013,low,clean,Fog-only,fog-8,154
10013,low,clean,DRL-OO,fog-1,0
10013,low,clean,DRL-OO,fog-2,4
10013,low,clean,DRL-OO,fog-3,0
10013,low,clean,DRL-OO,fog-4,0
10013,low,clean,DRL-OO,fog-5,267
10013,low,clean,DRL-OO,fog-6,36
10013,low,clean,DRL-OO,fog-7,43
10013,low,clean,DRL-OO,fog-8,137
