seed,load,qos_regime,algorithm,arrived_tasks,completed_tasks,mean_latency_ms,p95_latency_ms,dmr_pct,throughput_tasks_s,energy_j,monetary_cost,run_cost_index,fairness,rejection_rate_pct,network_failure_rate_pct,mean_packet_loss_pct,mean_jitter_ms,p95_jitter_ms,retransmission_bytes,retransmission_overhead_pct,retransmission_energy_j,sla_success_pct,local_pct,fog_pct,cloud_pct,decision_median_us,decision_p95_us,decision_p99_us,cpu_s,cpu_utilization_pct,wall_s,peak_memory_kib,simulator_throughput_tasks_s,sensitivity_type,configured_loss_pct,configured_jitter_ms
30010,high,moderate,DT-KF-CostAware,1602,1587,456.4122709696412,967.6648023527487,13.233458177278402,17.633333333333333,204.39295493329826,18.457505196438575,0.395174205361434,0.9300227333202217,0.6242197253433208,0.0,0.0,18.940841558772853,36.232106285361105,4.391154106997419e-11,3.035986346351793e-16,0.0,86.76654182272159,0.0,87.01622971285893,12.359550561797754,183.6,315.71,492.51999999999936,1.0625,99.4325931703322,1.0685631000087596,nan,1840.7897483862912,loss,0.0,8.0
30011,high,moderate,DT-KF-CostAware,1585,1568,444.34601025276015,1016.3549638196762,12.74447949526814,17.42222222222222,171.99751723174126,15.12019068206577,0.37870373823507375,0.9428812913334698,0.31545741324921134,0.0,0.0,19.779011298025193,38.99065355594063,1.135163074650336e-10,7.246954352089179e-16,0.0,87.25552050473186,0.0,92.87066246056783,6.813880126182966,187.7,296.8999999999995,473.78000000000054,1.046875,100.73761828083086,1.0392096000141464,nan,1860.0674974265892,loss,0.0,8.0
30012,high,moderate,DT-KF-CostAware,1650,1628,460.0850250596041,1027.6915867161824,15.818181818181818,18.08888888888889,202.54520532823972,19.60774200132675,0.39858116723314213,0.9116385699322122,0.9090909090909091,0.0,0.0,19.24223408476442,40.12889467254014,6.752998160663992e-11,3.2620383937453822e-16,0.0,84.18181818181819,0.0,90.54545454545455,8.545454545454545,181.9,294.43999999999994,434.45599999999973,1.0625,99.004937481287,1.0731787999975495,nan,1879.4631425859377,loss,0.0,8.0
30013,high,moderate,DT-KF-CostAware,1650,1625,451.77015665420146,1036.9408467817027,16.545454545454547,18.055555555555557,205.03682306543632,16.67321649658252,0.3942687100716844,0.8871426909579727,0.9090909090909091,0.0,0.0,20.363909179195154,40.212492990393415,5.92621063333354e-10,3.104587581951462e-15,0.0,83.45454545454545,0.0,90.42424242424242,8.666666666666666,187.7,316.8699999999996,491.51900000000006,1.078125,98.30809320868791,1.0966798000154085,nan,1809.0968758357037,loss,0.0,8.0
30014,high,moderate,DT-KF-CostAware,1646,1633,434.1651769134347,995.0737990761454,15.795868772782503,18.144444444444446,152.58352890333194,15.146861610690074,0.3781979298404023,0.9247670249207979,0.3037667071688943,0.0,0.0,19.091667132928592,38.22848230692562,3.8397729440475814e-11,3.901783600634099e-16,0.0,84.2041312272175,0.0,93.74240583232078,5.953827460510328,186.3,307.1899999999995,437.964,1.0625,99.61833753995462,1.066570699971635,nan,1855.4794352147785,loss,0.0,8.0
30015,high,moderate,DT-KF-CostAware,1582,1571,448.77983213380406,1026.3284925240932,14.72819216182048,17.455555555555556,161.02128592819662,15.367077080052129,0.3756655238207446,0.9293481891173366,0.18963337547408343,0.0,0.0,20.297116880686193,41.784523208062524,2.1032064978498966e-11,1.4037934864436407e-16,0.0,85.27180783817953,0.0,94.81668773704172,4.993678887484197,182.2,297.96999999999997,442.17999999999995,1.015625,100.50305707425235,1.010541399999056,nan,1902.9403446526746,loss,0.0,8.0
30016,high,moderate,DT-KF-CostAware,1590,1574,442.7766745319081,1040.258753483096,13.270440251572326,17.488888888888887,184.23092678276035,16.65912153327551,0.38412157509725914,0.9478463812439881,0.5031446540880503,0.0,0.0,19.223169815198165,37.68197443285796,7.264588930411264e-11,4.098485280223774e-16,0.0,86.72955974842768,0.0,92.76729559748428,6.729559748427673,184.25,328.575,449.6950000000008,1.046875,100.34718328609036,1.0432529999525286,nan,1855.7339399820505,loss,0.0,8.0
30017,high,moderate,DT-KF-CostAware,1631,1619,448.41703065563655,1005.7950318383837,15.818516247700797,17.988888888888887,181.05095106272893,16.46198252816197,0.3829355021043984,0.9525449240229995,0.24524831391784183,0.0,0.0,20.524687783550835,39.712519716680326,3.9051428757375106e-11,1.7411407937204903e-16,0.0,84.1814837522992,0.0,93.62354383813611,6.131207847946046,181.5,316.53,446.93700000000007,1.0625,98.63819870813217,1.0771688999957405,nan,1864.1459106440414,loss,0.0,8.0
30018,high,moderate,DT-KF-CostAware,1588,1558,446.65515196445676,981.6001745962876,13.602015113350125,17.31111111111111,212.45087559870512,19.641461823396057,0.40895675806685766,0.925687929558725,1.3224181360201512,0.0,0.0,20.060430889128575,40.749848980797836,8.768097359279636e-12,9.179964739275497e-17,0.0,86.39798488664988,0.0,83.75314861460957,14.924433249370278,179.2,298.0299999999999,434.57599999999985,1.03125,100.67422689294908,1.0243435999727808,nan,1896.8244640290914,loss,0.0,8.0
30019,high,moderate,DT-KF-CostAware,1588,1568,455.34711413858355,1019.5864232261084,14.987405541561714,17.42222222222222,188.52158030981877,18.03587860321209,0.3924530560402661,0.9513731731176359,0.818639798488665,0.0,0.0,20.102399999177752,40.46124839569333,5.967422112007625e-10,2.8292880877795895e-15,0.0,85.01259445843829,0.0,91.30982367758186,7.871536523929471,183.6,308.5999999999999,500.5319999999957,1.046875,99.66215541232965,1.0504237999557517,nan,1844.0176242023406,loss,0.0,8.0
