seed,load,qos_regime,algorithm,arrived_tasks,completed_tasks,mean_latency_ms,p95_latency_ms,dmr_pct,throughput_tasks_s,energy_j,monetary_cost,run_cost_index,fairness,rejection_rate_pct,network_failure_rate_pct,mean_packet_loss_pct,mean_jitter_ms,p95_jitter_ms,retransmission_bytes,retransmission_overhead_pct,retransmission_energy_j,sla_success_pct,local_pct,fog_pct,cloud_pct,decision_median_us,decision_p95_us,decision_p99_us,cpu_s,cpu_utilization_pct,wall_s,peak_memory_kib,simulator_throughput_tasks_s
20002,high,impaired,Loss-only,1586,1574,539.6407025101518,1243.918659440286,30.453972257250946,17.488888888888887,222.93211812607152,18.399605870649218,0.4362227264682222,0.9272162525184687,0.44136191677175285,0.0,6.358777753809319,60.8179724823945,123.94296006183,2095100.0,7.592692749878994,0.4233483023031382,69.54602774274906,0.0,89.21815889029004,10.34047919293821,198.3,384.105,549.6079999999996,1.15625,99.05668055676765,1.1672609999659471,nan,1644.876338758866
20002,high,impaired,Jitter-only,1586,1516,516.83888463712,1151.8931418695436,26.103404791929382,16.844444444444445,246.85195954111484,19.33195112054345,0.44991006036564846,0.8772261595981853,4.03530895334174,0.0,6.343190477206064,60.73535437873974,121.70744737425765,2077580.0000000002,7.538217472338348,0.4377317402987673,73.89659520807062,0.0,80.58007566204287,15.384615384615385,195.85000000000002,378.2749999999999,544.0449999999997,1.140625,99.73842627994007,1.1436163999605924,nan,1678.8846330519227
20003,high,impaired,Full-QoS,1602,1549,512.1774753437517,1137.8072551861962,25.905118601747816,17.211111111111112,217.24896848761824,17.556242977130964,0.4371044022638873,0.8929316181586625,2.933832709113608,0.0,6.320565272662283,63.51024371850873,125.34799815376921,1306700.0000000002,7.846838739447124,0.3700862182804503,74.09488139825218,0.0,83.02122347066167,14.044943820224718,203.6,425.86999999999995,691.4400000000002,1.265625,99.96299641245163,1.2660935000167228,nan,1544.1197668056727
20003,high,impaired,No-QoS-awareness,1602,1584,538.8316241733132,1210.9514944635112,31.835205992509362,17.6,186.07176502465464,16.07627635050267,0.4279157943682015,0.9218139770295309,0.4993757802746567,0.0,6.465556677775053,63.46353917342154,126.29441378172857,1351960.0000000002,8.107417829159061,0.40713048926270556,68.16479400749064,0.0,91.13607990012484,8.3645443196005,188.6,353.6,533.1200000000001,1.15625,99.65583936496049,1.1602431000210345,nan,1684.9917055870076
20003,high,impaired,Loss-only,1602,1587,538.9941878854132,1206.540349063548,31.960049937578027,17.633333333333333,188.2793880467723,16.196417850315203,0.4279696484450265,0.9210703781695411,0.4369538077403246,0.0,6.475158204884712,63.63633740840605,126.55897361550234,1353420.0000000002,8.11606995884157,0.4105733452758787,68.03995006242197,0.0,91.19850187265918,8.3645443196005,199.4,372.63999999999993,512.1700000000002,1.203125,100.61999059184427,1.1957116999546997,nan,1635.009509461241
20003,high,impaired,Jitter-only,1602,1550,512.7456339807934,1139.4636269113469,25.967540574282147,17.22222222222222,216.76663563433632,17.528902982325295,0.43683195510902406,0.8922095464697275,2.871410736579276,0.0,6.323932850707367,63.56998885337765,125.97782932786966,1311080.0000000002,7.872794453519392,0.3714969524888231,74.03245942571785,0.0,83.14606741573034,13.982521847690387,207.3,439.52,690.2020000000001,1.296875,98.11138932722687,1.3218393999850377,nan,1478.9996424846538
20004,high,impaired,Full-QoS,1647,1598,516.3078289952083,1200.5274865977424,27.018822100789315,17.755555555555556,223.62923112562467,19.679260445377533,0.4249324990629596,0.9217969421882465,2.3679417122040074,0.0,6.057713646333337,59.30937601180016,117.88885081812003,1946180.0,6.740261949593876,0.4285291932482384,72.98117789921069,0.0,84.8816029143898,12.750455373406194,203.85000000000002,422.4149999999999,613.5699999999996,1.28125,98.9755518613989,1.2945115999900736,nan,1554.2541295230017
20004,high,impaired,No-QoS-awareness,1647,1629,540.5029882442483,1227.359569238658,34.00121432908318,18.1,194.7726799816114,18.312871791032492,0.4174592062714317,0.9681585110295978,0.36429872495446264,0.0,6.189466627857892,61.0350569221719,122.28166287328526,1938880.0,6.712237467418189,0.43222827276330933,65.99878567091682,0.0,92.71402550091075,6.9216757741347905,217.5,568.7699999999995,911.9479999999995,1.53125,92.74397206628394,1.651050699991174,nan,1218.617938268495
20004,high,impaired,Loss-only,1647,1629,540.5029882442483,1227.359569238658,34.00121432908318,18.1,194.7726799816114,18.312871791032492,0.4174592062714317,0.9681585110295978,0.36429872495446264,0.0,6.189466627857892,61.0350569221719,122.28166287328526,1938880.0,6.712237467418189,0.43222827276330933,65.99878567091682,0.0,92.71402550091075,6.9216757741347905,232.95,621.8249999999996,986.5469999999997,1.65625,98.53582164742357,1.6808607999701053,nan,1197.0057247071168
20004,high,impaired,Jitter-only,1647,1598,516.3078289952083,1200.5274865977424,27.018822100789315,17.755555555555556,223.62923112562467,19.679260445377533,0.4249324990629596,0.9217969421882465,2.3679417122040074,0.0,6.057713646333337,59.30937601180016,117.88885081812003,1946180.0,6.740261949593876,0.4285291932482384,72.98117789921069,0.0,84.8816029143898,12.750455373406194,197.9,382.10499999999985,563.8459999999998,1.234375,100.26370929164767,1.2311284000170417,nan,1634.2730782363149
