seed,load,qos_regime,algorithm,arrived_tasks,completed_tasks,mean_latency_ms,p95_latency_ms,dmr_pct,throughput_tasks_s,energy_j,monetary_cost,run_cost_index,fairness,rejection_rate_pct,network_failure_rate_pct,mean_packet_loss_pct,mean_jitter_ms,p95_jitter_ms,retransmission_bytes,retransmission_overhead_pct,retransmission_energy_j,sla_success_pct,local_pct,fog_pct,cloud_pct,decision_median_us,decision_p95_us,decision_p99_us,cpu_s,cpu_utilization_pct,wall_s,peak_memory_kib,simulator_throughput_tasks_s,policy_seed
10027,medium,moderate,Fog-only,913,910,269.68235508029915,536.0162970927846,0.10952902519167579,10.11111111111111,143.26106447488164,7.234113257281243,0.29315284861938173,0.5950430563699284,0.0,0.0,1.4651284397032143,16.41276791911499,31.640857454177308,148920.00000000003,1.646923564034605,0.038158714374892905,99.89047097480832,0.0,100.0,0.0,34.5,66.19999999999999,106.16999999999999,0.59375,99.31008967491353,0.5978747999761254,nan,1866.6115381423747,
10027,medium,moderate,DRL-OO-2025,913,910,293.222224167171,641.392570528734,3.833515881708653,10.11111111111111,127.43733063634771,7.884184152412657,0.30309714571464214,0.5838331980173848,0.0,0.0,1.4748901364678604,15.401482335166314,30.78668106383961,146000.00000000003,1.6146309451319656,0.02893775533163998,96.16648411829135,0.0,99.67141292442497,0.32858707557502737,530.1500000000001,1033.525,1385.6749999999995,1.375,99.46513797450064,1.3823939000139944,nan,807.2952289421288,503
10028,medium,moderate,DT-KF-CostAware,917,917,312.9826316984992,696.7824669933948,4.689203925845147,10.188888888888888,149.4822086782452,7.134840995701605,0.3012557855559416,0.6101569347938398,0.0,0.0,1.4453768981688733,16.532075996201126,32.06579003350906,141620.0,1.576558900260552,0.036356936228988564,95.31079607415485,0.0,100.0,0.0,286.15,580.285,773.4319999999999,0.984375,100.77456288645595,0.9768090000143275,nan,1150.6855485396977,
10028,medium,moderate,DT-OPT,917,917,312.3583555444467,691.3493746768833,4.362050163576881,10.188888888888888,149.8521423311376,7.143998149007319,0.3010840624645309,0.611819052275598,0.0,0.0,1.4453944917094852,16.473351507994185,32.06579003350906,150380.00000000003,1.6740780074931638,0.03939950321085506,95.63794983642312,0.0,100.0,0.0,304.45000000000005,561.9299999999998,835.781,1.015625,99.41084179678299,1.021644100022968,nan,1100.187433152828,
10028,medium,moderate,SemiGreedy,917,917,233.00138756054534,391.42063247105176,0.0,10.188888888888888,337.7589940039882,15.510902701890753,0.3048384937501184,0.38940718582666756,0.0,0.0,1.3130501858104857,18.91959634723434,36.575514413593346,118260.0,1.3165079476402546,0.018911468717789776,100.0,0.0,66.95747001090513,33.042529989094874,309.04999999999995,605.6699999999998,790.639,1.0,101.02687759263941,0.9898356000194326,nan,1135.542104141267,
10028,medium,moderate,Fog-only,917,917,284.24127442941835,560.7638927180096,0.10905125408942203,10.188888888888888,170.13509011478985,7.601674343094858,0.29685928045835214,0.5753114344044706,0.0,0.0,1.4083910308818726,17.26497410683782,33.09705359459111,170820.00000000003,1.901622591035924,0.04117374954345748,99.89094874591058,0.0,100.0,0.0,51.849999999999994,92.78499999999998,122.57799999999997,0.75,100.7469919334791,0.7444390999735333,nan,1509.8615857764069,
10028,medium,moderate,DRL-OO-2025,917,917,309.47462838690353,717.7297808131334,3.380588876772083,10.188888888888888,142.0067362737419,7.832030038704913,0.3024975394798207,0.5967713318912413,0.0,0.0,1.406657764267644,17.22239402971845,34.11781481921412,135780.0,1.5115461621054775,0.03143700463747037,96.61941112322792,0.0,100.0,0.0,467.45000000000005,847.0199999999992,1305.8859999999997,1.25,100.77833933217858,1.2403459000051953,nan,906.1988272749497,504
10029,medium,moderate,DT-KF-CostAware,953,952,324.3607481883624,674.1580213202936,3.6726128016789086,10.577777777777778,131.25079259201706,8.29671102421024,0.31614058805788126,0.6056300805353964,0.0,0.0,1.4873840516994388,14.710786133349322,29.889915007010703,127019.99999999999,2.134144292482946,0.03564876171007739,96.32738719832109,0.0,99.68520461699894,0.3147953830010493,303.0,591.5599999999998,817.3109999999992,1.046875,99.59674200532312,1.051113700028509,nan,1088.3694123375728,
10029,medium,moderate,DT-OPT,953,952,327.11970580063104,704.3508462010378,3.6726128016789086,10.577777777777778,129.1093161618261,8.212760855814174,0.31664023422110754,0.6081405252716923,0.0,0.0,1.4878007099662256,14.5320461266146,29.173488566078152,125559.99999999999,2.1096138983164754,0.0351502521637228,96.32738719832109,0.0,99.79013641133264,0.2098635886673662,433.79999999999995,795.035,1012.277999999999,1.328125,100.3076541956966,1.3240515000070445,nan,864.0147305402497,
10029,medium,moderate,SemiGreedy,953,952,238.64022830358587,400.7228441205186,0.0,10.577777777777778,324.8766039476809,16.346167747276276,0.30492560941170727,0.40474727974727975,0.0,0.0,1.3200544805197354,15.719189570336804,31.682504454632326,89060.00000000001,1.4963540441547099,0.014509586712672643,100.0,0.0,64.53305351521512,35.46694648478489,294.2,586.8799999999999,822.9699999999999,1.03125,100.62760399491562,1.024818200035952,nan,1116.2955536502639,
