qos_regime,load,metric,comparator,n_pairs,mean_improvement,improvement_sd,improvement_ci95,normality_test,normality_p,test,statistic,raw_p,holm_p,effect_name,effect_size,effect_ci95_low,effect_ci95_high
clean,low,run_cost_index,DRL-OO,30,-0.022178425760558357,0.004496163849420171,0.001678893298199728,Jarque-Bera,0.6076282213566346,paired_t,-27.017752212428928,0.0,0.0,cohens_dz,-4.932744113277477,-6.4905717010915085,-3.982149368154523
clean,low,run_cost_index,DT-OPT,30,-0.023706323022880907,0.0042915313341651525,0.001602482346561542,Jarque-Bera,0.5990323428958201,paired_t,-30.256071467463382,0.0,0.0,cohens_dz,-5.523977614739376,-8.079163811588801,-4.458872944436039
clean,low,run_cost_index,Fog-only,30,-0.021299389591206554,0.005032324469002143,0.0018790987402435876,Jarque-Bera,0.5430989271049285,paired_t,-23.18244026603445,0.0,0.0,cohens_dz,-4.232515157241044,-5.929436699327437,-3.4775852858427534
clean,low,run_cost_index,SemiGreedy,30,-0.0025560580065575674,0.004178846051728225,0.0015604050175706291,Jarque-Bera,0.6504631071840824,paired_t,-3.3502326028599967,0.0022540601133795857,0.033810901700693785,cohens_dz,-0.6116659898252224,-1.0489437356306164,-0.2857856007864121
clean,low,fairness,DRL-OO,30,0.2562751971135717,0.12821525603769376,0.04787630996063596,Jarque-Bera,0.7647649266618466,paired_t,10.947816252608789,8.136380458267922e-12,2.4409141374803767e-10,cohens_dz,1.9987886389918366,1.5980365684456947,2.7203567576166616
clean,low,fairness,DT-OPT,30,0.24342353948337125,0.1269023876044021,0.047386077378396854,Jarque-Bera,0.9449568398488031,paired_t,10.506387320183634,2.12674322597195e-11,6.167555355318655e-10,cohens_dz,1.9181951110502762,1.5096757938836096,2.6523760017819136
clean,low,fairness,Fog-only,30,0.2898956564184726,0.12561176063445886,0.046904149885787144,Jarque-Bera,0.6303572852573887,paired_t,12.640726436852935,2.533528942194607e-13,8.360645509242204e-12,cohens_dz,2.3078703375720853,1.87980214055805,2.990917917639213
clean,low,fairness,SemiGreedy,30,0.40979827452755924,0.1260103746999206,0.04705299465779387,Jarque-Bera,0.7675865719461611,paired_t,17.81248246582512,0.0,0.0,cohens_dz,3.2520994838992205,2.6997268905870717,4.26404673152777
clean,low,network_failure_rate_pct,DRL-OO,30,0.0,0.0,0.0,Jarque-Bera,1.0,paired_t,0.0,1.0,1.0,cohens_dz,0.0,0.0,0.0
clean,low,network_failure_rate_pct,DT-OPT,30,0.0,0.0,0.0,Jarque-Bera,1.0,paired_t,0.0,1.0,1.0,cohens_dz,0.0,0.0,0.0
