load,metric,comparator,n_pairs,mean_improvement,improvement_sd,improvement_ci95,normality_test,normality_p,test,statistic,raw_p,holm_p,effect_name,effect_size,effect_ci95_low,effect_ci95_high
high,mean_latency_ms,DT-OPT,30,2.435958256119998,5.465039862219388,2.0406771430844852,Jarque-Bera,0.5596071078055579,paired_t,2.441389851959891,0.020967577446037833,0.08387030978415133,cohens_dz,0.4457347645275435,0.09552539426006813,0.910076443246722
high,mean_latency_ms,Fog-only,30,166.9517692367259,148.61892386066594,55.495156229127495,Jarque-Bera,0.017211485684158683,wilcoxon_signed_rank,0.0,1.7343976281836149e-06,2.246218409274192e-05,rank_biserial,1.0,1.0,1.0
high,mean_latency_ms,SemiGreedy,30,-120.24680091309686,10.615025509756403,3.963711240382721,Jarque-Bera,0.7872702011362906,paired_t,-62.04590395699141,0.0,0.0,cohens_dz,-11.327980399347746,-14.909962911607476,-9.425824940565935
high,p95_latency_ms,DT-OPT,30,-0.7396819913297539,32.04028673739595,11.964026329411634,Jarque-Bera,0.7385031747667403,paired_t,-0.1264472179516376,0.9002505620400081,0.9002505620400081,cohens_dz,-0.023085997868628035,-0.40778123547731054,0.3509619736370694
high,p95_latency_ms,Fog-only,30,386.5814145531551,572.0117239443504,213.5924494712731,Jarque-Bera,6.143667957318696e-30,wilcoxon_signed_rank,39.0,6.892290296844905e-05,0.00048246032077914336,rank_biserial,0.832258064516129,0.6129032258064516,0.9612903225806452
high,p95_latency_ms,SemiGreedy,30,-442.01792358040063,52.512318928293745,19.608400243912065,Jarque-Bera,0.6848043873728364,paired_t,-46.1040747214335,0.0,0.0,cohens_dz,-8.417413905944278,-11.47722707900712,-6.825963264244395
high,dmr_pct,DT-OPT,30,-0.4950903610651723,1.1474239141675842,0.42845465250081743,Jarque-Bera,0.4409138784434663,paired_t,-2.36331276880784,0.025030029033801693,0.08387030978415133,cohens_dz,-0.43147990463868185,-0.7895258222051206,-0.10717510798446571
high,dmr_pct,Fog-only,30,24.581044875273808,14.936178040046483,5.577254311002443,Jarque-Bera,0.2788615511080445,paired_t,9.01408160048441,6.583729117437542e-10,1.0533966587900068e-08,cohens_dz,1.6457386092591937,1.3935111405449812,2.072920855074262
high,dmr_pct,SemiGreedy,30,-11.911875311094354,3.0287350143401737,1.1309469778896803,Jarque-Bera,1.2031788663155492e-15,wilcoxon_signed_rank,0.0,1.7343976281836149e-06,2.246218409274192e-05,rank_biserial,-1.0,-1.0,-1.0
high,throughput_tasks_s,DT-OPT,30,-0.15370370370370362,0.18399296943028287,0.06870402717467823,Jarque-Bera,0.0015481639799007545,wilcoxon_signed_rank,17.5,2.380089892728421e-05,0.00019040719141827367,rank_biserial,-0.9137931034482759,-1.0,-0.7356284760845384
high,throughput_tasks_s,Fog-only,30,-0.39037037037037053,0.5263166573301382,0.1965296502342559,Jarque-Bera,2.4322088804842355e-09,wilcoxon_signed_rank,7.5,3.6552357651764567e-06,3.289712188658811e-05,rank_biserial,-0.967741935483871,-1.0,-0.8795698924731182
high,throughput_tasks_s,SemiGreedy,30,-0.45370370370370344,0.5983806964845694,0.22343877464109438,Jarque-Bera,4.3149074536727664e-21,wilcoxon_signed_rank,0.0,1.7278603148263016e-06,2.246218409274192e-05,rank_biserial,-1.0,-1.0,-1.0
high,energy_j,DT-OPT,30,-7.81125697127016,5.720336010213804,2.1360061849696703,Jarque-Bera,0.7497698968670987,paired_t,-7.479283800802883,3.043406926472869e-08,4.5651103897093037e-07,cohens_dz,-1.3655241505609048,-1.9509608203736895,-0.9968632481997227
high,energy_j,Fog-only,30,-84.9204590112989,29.827749829183322,11.137852392779681,Jarque-Bera,0.2589769466497699,paired_t,-15.593818260026215,1.3322676295501878e-15,2.398081733190338e-14,cohens_dz,-2.8470286728841057,-3.423081410861072,-2.4945312603397802
high,energy_j,SemiGreedy,30,164.0786328247972,21.753302264240805,8.122807488400738,Jarque-Bera,0.3661719879433003,paired_t,41.313069303726465,0.0,0.0,cohens_dz,7.542699992475076,6.023827236085786,10.680240818985995
high,monetary_cost,DT-OPT,30,-0.372736675309472,0.2903777978720657,0.10842873060693205,Jarque-Bera,0.7861292227267712,paired_t,-7.030712629290744,9.864207184406837e-08,1.3809890058169572e-06,cohens_dz,-1.2836266341329992,-1.7850705787096193,-0.9076726781974515
high,monetary_cost,Fog-only,30,-4.235272781298426,1.3689079519654839,0.5111580590426102,Jarque-Bera,0.270529103798351,paired_t,-16.946022091361794,2.220446049250313e-16,4.218847493575595e-15,cohens_dz,-3.093906186473242,-3.7731098061621196,-2.738461291038266
high,monetary_cost,SemiGreedy,30,8.667417816681363,1.1395497939622785,0.4255144109783445,Jarque-Bera,0.5580790938665463,paired_t,41.659787739610664,0.0,0.0,cohens_dz,7.606001828620639,6.256433595504931,10.665552647129601
high,run_cost_index,DT-OPT,30,-0.0053852205931664695,0.007922477733717332,0.0029582985001736324,Jarque-Bera,0.006557752162903643,wilcoxon_signed_rank,68.0,0.0007157033846247884,0.003578516923123942,rank_biserial,-0.7075268817204301,-0.9096774193548387,-0.3849462365591398
high,run_cost_index,Fog-only,30,0.021111630903932206,0.024213903449214064,0.009041610044834855,Jarque-Bera,6.121439422435933e-11,wilcoxon_signed_rank,40.0,7.513662254954312e-05,0.00048246032077914336,rank_biserial,0.8279569892473119,0.5223655913978494,1.0
high,run_cost_index,SemiGreedy,30,-0.04759312636867244,0.021920053366011435,0.00818507330357254,Jarque-Bera,1.9217910349829577e-17,wilcoxon_signed_rank,0.0,1.7343976281836149e-06,2.246218409274192e-05,rank_biserial,-1.0,-1.0,-1.0
high,fairness,DT-OPT,30,-0.0036479434710816492,0.008249891514864788,0.0030805566787712796,Jarque-Bera,0.9773376672204879,paired_t,-2.421923881077679,0.02191964948412095,0.08387030978415133,cohens_dz,-0.44218078074223466,-0.9071804896431616,-0.0876472087687379
high,fairness,Fog-only,30,-0.056246195380071445,0.022977086775268937,0.008579775624530992,Jarque-Bera,0.7835319287951418,paired_t,-13.407839855776238,5.839773109528323e-14,9.92761428619815e-13,cohens_dz,-2.447925445475153,-3.374868900947953,-1.8961102280285862
high,fairness,SemiGreedy,30,0.2696120425353186,0.02643642021310564,0.009871510516659366,Jarque-Bera,0.5049877700507225,paired_t,55.85952874150066,0.0,0.0,cohens_dz,10.198507981109358,8.388094342294515,13.808938780647903
