seed,load,algorithm,arrived_tasks,completed_tasks,mean_latency_ms,p95_latency_ms,dmr_pct,throughput_tasks_s,energy_j,monetary_cost,run_cost_index,fairness,rejection_rate_pct,local_pct,fog_pct,cloud_pct,decision_median_us,decision_p95_us,decision_p99_us,cpu_s,cpu_utilization_pct,wall_s,peak_memory_kib,simulator_throughput_tasks_s,task_count,fog_nodes
4009,high,DT-KF-CostAware,50,49,316.55439229346837,536.153376246939,0.0,0.5444444444444444,4.630715152292586,0.4546471699279519,0.3150143720023308,0.3435114503816794,0.0,0.0,92.0,8.0,633.5,809.4999999999998,989.7479999999996,0.0625,84.61932139352828,0.07386019997647963,45.91015625,676.9545711482263,50,5
4009,high,DT-OPT,50,49,317.87178526587354,536.153376246939,0.0,0.5444444444444444,4.66296543934021,0.4512090260297908,0.3167121561404126,0.3196527229676401,0.0,0.0,92.0,8.0,628.4000000000001,923.0199999999999,1010.4709999999999,0.0625,82.04802369938169,0.07617489999393001,45.65234375,656.3841895950535,50,5
4009,high,SemiGreedy,50,49,242.4434069113151,300.82076891197215,0.0,0.5444444444444444,13.500262375490488,0.9008449777510062,0.3074793022941963,0.2,0.0,0.0,46.0,54.0,613.75,939.8299999999999,1031.162,0.078125,109.9161612285734,0.07107689999975264,46.421875,703.4634318628698,50,5
4009,high,Fog-only,50,49,310.86045559663984,510.1534438078204,0.0,0.5444444444444444,3.889453799343065,0.3753702933862826,0.30594758313491643,0.2,0.0,0.0,100.0,0.0,35.150000000000006,51.04,107.01799999999983,0.046875,119.14172212989538,0.03934389998903498,41.765625,1270.8450360522174,50,5
4000,high,DT-KF-CostAware,200,198,354.8486111225955,709.6624235203489,0.0,2.2,14.952395461734612,1.5071636066214384,0.3343910301773756,0.20119409238504243,0.0,0.0,99.0,1.0,968.25,1609.5999999999992,2008.2159999999994,0.515625,99.79281801327126,0.5166955000022426,165.80859375,387.0751728999613,200,10
4000,high,DT-OPT,200,198,362.4641994125683,710.1062225876542,0.0,2.2,13.114265337933672,1.3926729969536193,0.3347593851139539,0.19971472236372897,0.0,0.0,100.0,0.0,927.95,1310.6849999999997,2284.3939999999993,0.484375,100.08872897716472,0.4839456000190694,167.734375,413.26959061538986,200,10
4000,high,SemiGreedy,200,199,254.23671240576653,336.91781877239373,0.0,2.2111111111111112,61.03057101438308,4.041406645401351,0.329315175798621,0.1,0.0,0.0,39.5,60.5,1093.15,1672.1799999999994,1991.5499999999986,0.53125,96.01041268127388,0.5533253999892622,168.2109375,361.4509653883252,200,10
4000,high,Fog-only,200,199,355.2566410421881,640.4850275563413,0.5,2.2111111111111112,14.968964549739235,1.411770201010053,0.33703238710852385,0.13516160961124954,0.0,0.0,100.0,0.0,57.9,90.225,162.33299999999997,0.28125,104.10713280957475,0.2701544000010472,156.4375,740.3173888680872,200,10
4001,high,DT-KF-CostAware,200,198,339.47503197748125,814.8717545910375,0.0,2.2,23.514054546489547,1.9730776732367505,0.3335405101394042,0.15406009919284255,0.0,0.0,90.0,10.0,889.25,1348.2949999999994,1584.7229999999972,0.453125,97.8880167580297,0.4629013999947347,165.28515625,432.05745327682075,200,10
4001,high,DT-OPT,200,198,340.9045523162986,835.5033227321057,0.0,2.2,24.178775476456387,2.000352334076238,0.3354668169931708,0.1515413924489089,0.0,0.0,88.5,11.5,929.05,1485.1649999999995,1740.2109999999993,0.46875,95.8907808579828,0.48883740001474507,165.8671875,409.13399832739333,200,10
